Projektnummer           ;FCH-23250 - Geoterra Kft. - Ferihegy;;;
Sondierung              ;C10100/2;;;
Projektbezeichnung      ;;;;
Datum der Sondierung    ;04.dec.23;;;
;;;;
   Tiefe;    Conus;  Reibung; PW-Druck;       Rf
     (m);    (MPa);    (MPa);    (MPa);      (%)
8,48;25,9647;0,1848;-0,0018;0,7133
8,5;26,1768;0,2028;-0,0018;0,7756
8,52;26,2716;0,2409;-0,0018;0,9166
8,54;26,2629;0,2647;-0,0017;1,0068
8,56;25,7482;0,2704;-0,002;1,0439
8,58;25,2402;0,3593;-0,0016;1,4221
8,6;25,1941;0,3331;-0,0017;1,32
8,62;23,8716;0,2871;-0,0019;1,1775
8,64;23,5113;0,2658;-0,0019;1,1347
8,66;23,2103;0,2017;-0,0014;0,8521
8,68;21,3873;0,1821;-0,002;0,8346
8,7;19,5158;0,1556;-0,0018;0,7792
8,72;18,9959;0,1049;-0,0019;0,5448
8,74;18,0134;0,1012;-0,0017;0,5375
8,76;17,0607;0,1015;-0,002;0,5722
8,78;15,8368;0,1101;-0,002;0,6821
8,8;14,8541;0,1007;-0,0019;0,6678
8,82;13,6496;0,0998;-0,0019;0,6964
8,84;12,512;0,1025;-0,002;0,7885
8,86;11,4715;0,098;-0,002;0,8316
8,88;10,4364;0,0755;-0,0021;0,6959
8,9;9,4356;0,0723;-0,002;0,7256
8,92;8,5506;0,0777;-0,002;0,8679
8,94;7,7522;0,0816;-0,002;1,0544
8,96;7,2022;0,0783;-0,0021;1,0633
8,98;6,771;0,0751;-0,0021;1,0941
9;6,4847;0,0724;-0,002;1,093
9,02;6,2546;0,0741;-0,0021;1,1751
9,04;6,0503;0,074;-0,0021;1,2028
9,06;5,9067;0,0713;-0,0021;1,1966
9,08;5,7615;0,0708;-0,0022;1,2119
9,1;5,6524;0,0702;-0,0021;1,2272
9,12;5,5488;0,0697;-0,0022;1,2424
9,14;5,5089;0,0696;-0,0022;1,2619
9,16;5,488;0,0709;-0,0022;1,2925
9,18;5,4373;0,0718;-0,0022;1,3089
9,2;5,3792;0,0725;-0,0022;1,3228
9,22;5,321;0,0734;-0,0023;1,3389
9,24;5,2628;0,0745;-0,0022;1,3582
9,26;5,2474;0,0779;-0,0022;1,4833
